True Energy Output [Wh],Predicted Energy Output [Wh]
0.07808764940239044,0.0789175621952159
0.0,0.0002246181353049992
0.0,0.00033302795558298737
0.0,0.0006251576495017175
0.1754980079681275,0.17602129550857554
0.0,0.0004890175594304824
0.0,0.00036271517438654644
0.0,0.00014816215621099582
0.0,0.0010092876237720039
0.0,0.000663635266123952
0.3318725099601594,0.3324730491461792
0.02649402390438247,0.0264203404657663
0.0,0.0006817982872057982
0.0,0.00012752783507030685
0.22211155378486055,0.22297764067958253
0.06832669322709163,0.06826010186771228
0.36932270916334664,0.37071667195807717
0.03306772908366534,0.03399927387052909
0.696812749003984,0.6976955090827544
0.7187250996015937,0.7194544436059629
0.14741035856573706,0.14859307287922247
0.0049800796812749,0.006000738475759715
0.0,0.00018451780073092117
0.0,0.0010835518475557637
0.0,0.000282079564303761
0.036254980079681275,0.036636203159030156
0.0,0.0009568842432255975
0.22689243027888448,0.2273181006217621
0.0,0.00039111143610770505
0.07191235059760956,0.0722848406160509
0.0,-0.0016245299192309826
0.0,0.0006034000198721357
0.7294820717131474,0.7301940234354953
0.0,4.74620022253569e-05
0.02649402390438247,0.02763122750385405
0.0,0.000493895021834001
0.0,0.000644727944216883
0.0,0.0005479701035775997
0.06932270916334661,0.06989629719999763
0.0,0.000272221918095783
0.05816733067729084,0.058728347314788654
0.0,0.0002255621309044109
0.0,0.00039469102650652177
0.0,0.0003973509211502302
0.06653386454183267,0.06676933242791533
0.1454183266932271,0.14603734215256942
0.19123505976095617,0.1913386709012574
0.8575697211155379,0.8586877029589086
0.0,0.00028801112192056166
0.029880478087649404,0.028915235050872234
0.0,0.00018416825100978085
0.0,0.0002140850773267311
0.0,3.141288410191123e-05
0.05079681274900399,0.05124700148970862
0.021912350597609563,0.02228366563985401
0.0,0.0006481053431025008
0.07569721115537849,0.07642219413895474
0.0,0.0010334653371328884
0.0,0.0002340936787647574
0.7639442231075697,0.7648346252383824
0.0,0.00036159650887096495
0.0,0.000299082757401703
0.24462151394422313,0.244873078060796
0.7209163346613546,0.7217161490593691
0.05976095617529881,0.06031417275177789
0.0,0.0004029040863099409
0.0,0.0006154825074296544
0.0015936254980079682,0.002736880239641304
0.4292828685258964,0.4298408778110479
0.10478087649402391,0.10481949045393979
0.0,0.0006256091544027953
0.11454183266932272,0.11510838128387596
0.0,0.00020354185254239932
0.014940239043824702,0.015512823313652113
0.0856573705179283,0.08592368468169181
0.0,0.00014034808783003339
0.4254980079681275,0.4260618426044272
0.10219123505976097,0.10282002779875771
0.0,0.00036164247644004943
0.024302788844621514,0.024613320036570463
0.1695219123505976,0.169809451882323
0.03605577689243028,0.03631748665210632
0.0099601593625498,0.010376574880240852
0.09442231075697212,0.0946417580467917
0.0,0.0002588409989555118
0.0035856573705179283,0.005346028839629646
0.1051792828685259,0.10553743143846822
0.0,0.00029130440954006076
0.0,0.0001740142812440837
0.030876494023904383,0.03151776645685289
0.0,0.0006534535584042933
0.0,0.0004112217378909322
0.0,0.0004869826720140247
0.0,0.0005559712917918014
0.0,0.0006952506581904272
0.0,0.0002123837860174005
0.5169322709163346,0.5175397386031804
0.017729083665338645,0.018483521443603768
0.2782868525896414,0.2790109388151538
0.0,0.000315264806752924
0.0,0.00019583044613052936
0.0,0.00015568848173724836
0.0021912350597609563,0.0024240307715012732
0.0,0.0005004039238238334
0.0,7.982933537148407e-05
0.0,0.0002255440680777876
0.0,0.0009258879649530205
0.0041832669322709164,0.004828554068788515
0.0,0.0006628674743002494
0.02410358565737052,0.024486997041638203
0.0,0.0003271882636470269
0.0,0.00032944260315520557
0.0,7.582846398845877e-06
0.0,0.0005905895104788006
0.5207171314741036,0.5213525632205063
0.0,0.0003563472608661411
0.0,0.0002891218188206812
0.3623505976095618,0.3631453165659931
0.0,0.00039311653504586763
0.0647410358565737,0.05999982516224725
0.0,0.00033795111135612177
0.1850597609561753,0.18557786102686474
0.5826693227091634,0.5832632756322484
0.0,0.00029575111562374357
0.053187250996015935,0.05394813291288142
0.15,0.15074410436160562
0.0,0.00023351983931513276
0.0,0.0004673703019577591
0.0,0.00011007906604532103
0.033665338645418326,0.0340572054173241
0.5187250996015936,0.5194501716955009
0.0,0.0004889603834057621
0.0,0.0005216469385893596
0.14661354581673308,0.14723896006037823
0.05796812749003984,0.05822551224677697
0.0,-0.0001852602582497198
0.07470119521912351,0.0754200176302004
0.037250996015936254,0.037234709932477295
0.0,0.000625132642575077
0.0,0.000478739512974391
0.1310756972111554,0.13150786529776554
0.0,-0.0018678149910693054
0.0,0.0005213829636727674
0.0,0.0004109923653968228
0.0,0.0002928123378172498
0.01952191235059761,0.019650736854600948
0.8231075697211155,0.8242060301625582
0.0,0.0003412207175767512
0.0,-0.0002196111479194629
0.0,0.0002838261586221025
0.11334661354581674,0.11391491391253383
0.08346613545816733,0.0842619461910688
0.0,0.00043745518781618253
0.010756972111553785,0.011597570572338067
0.4792828685258964,0.48015572005694035
0.07171314741035857,0.07244074350219676
0.0,0.0004003850647009699
0.8155378486055778,0.8169320683070302
0.0,0.00027443404556565243
0.0,0.000508638755930213
0.0,0.000619754621741686
0.04223107569721116,0.042758936583391194
0.14163346613545819,0.14215858529718833
0.0,0.0005877207046893207
0.0,0.0004804019531408077
0.0,-0.0020850182075686507
0.11494023904382471,0.11574134368101957
0.00398406374501992,0.00458835997780499
0.0,0.0027826829428486966
0.14641434262948208,0.1469483024484493
0.0,0.0015640532904713789
0.0,0.00033485219015100265
0.0,0.00022221466654209765
0.0,-1.997808370757248e-05
0.0,0.0014474807461285488
0.15657370517928287,0.15747902797499663
0.0,0.0006219502865206228
0.0,0.0006164147499132522
0.0,0.0011706897896057167
0.0,0.0009394362200933482
0.0,0.0005194103071567979
0.3663346613545817,0.3667700676874643
0.15657370517928287,0.15686108177308655
0.0,-4.432676847332395e-05
0.0,0.00024989410343007057
0.0,0.00025848223127594716
0.7649402390438247,0.7660261038161853
0.0,0.0004441930500339586
0.019721115537848607,0.020422409186066248
0.0,0.0006249422025897955
0.33864541832669326,0.33965180283622864
0.0,-0.0001522614149785384
0.1956175298804781,0.1961354065631215
0.0250996015936255,0.02639537212177534
0.0,0.00034563700157363986
0.0,0.0001245519116105931
0.598605577689243,0.5996389104676687
0.30458167330677294,0.30513605567830476
0.0,-0.00024342607109567593
0.04362549800796813,0.043996001924313244
0.010159362549800797,0.010114205570982804
0.0,0.0003356527116296082
0.0,0.000463445397441975
0.008764940239043825,0.009031887737099953
0.0,0.0005847528419213877
0.07330677290836654,0.07401687350172476
0.18625498007968128,0.18704433029184503
0.0,0.0005234277398618037
0.00099601593625498,0.002124939415362792
0.09402390438247012,0.09443783880458217
0.0,0.00035223582671761733
0.23326693227091636,0.23389337762456225
0.0,2.682004088877532e-05
0.01195219123505976,0.013275106029011163
0.04203187250996016,0.042345556639294235
0.0,0.00011593267600440438
0.0,0.0002641510585985052
0.0,0.0009107022365133499
0.0,0.0001256977575634921
0.036254980079681275,0.03699486556987125
0.053784860557768925,0.05464083912751372
0.0,0.0005064914491451356
0.0,0.00012820387509471232
0.060159362549800796,0.060214578927784035
0.0,9.5552722273462e-07
0.0,0.00044269694964005346
0.054382470119521915,0.05509782737666197
0.0,0.0005205175252636085
0.08366533864541834,0.0845683790340131
0.21115537848605578,0.21202393755275623
0.2258964143426295,0.226710180968476
0.6864541832669323,0.68796360541228
